base,extra,test,majority,num_classes,majority_all
0.68,0.66,0.66,0.56,3,0.6143992932862191
0.58,0.72,0.72,0.68,3,0.6143992932862191
0.62,0.74,0.78,0.54,3,0.6143992932862191
0.5,0.86,0.62,0.56,3,0.6143992932862191
0.58,0.68,0.72,0.58,3,0.6143992932862191
0.72,0.72,0.76,0.76,3,0.6143992932862191
0.54,0.74,0.62,0.58,3,0.6143992932862191
0.54,0.7,0.88,0.62,3,0.6143992932862191
0.66,0.78,0.72,0.6,3,0.6143992932862191
0.62,0.72,0.72,0.6,3,0.6143992932862191
0.6,0.64,0.7,0.66,3,0.6143992932862191
0.62,0.74,0.78,0.62,3,0.6143992932862191
0.7,0.78,0.72,0.68,3,0.6143992932862191
0.68,0.76,0.64,0.58,3,0.6143992932862191
0.6,0.72,0.92,0.58,3,0.6143992932862191
0.64,0.66,0.74,0.62,3,0.6143992932862191
0.42,0.64,0.66,0.66,3,0.6143992932862191
0.66,0.74,0.8,0.68,3,0.6143992932862191
0.62,0.7,0.7,0.62,3,0.6143992932862191
0.52,0.68,0.76,0.56,3,0.6143992932862191
0.48,0.24,0.52,0.62,3,0.6143992932862191
0.7,0.62,0.72,0.62,3,0.6143992932862191
0.72,0.78,0.76,0.72,3,0.6143992932862191
0.62,0.68,0.72,0.64,3,0.6143992932862191
0.66,0.72,0.68,0.66,3,0.6143992932862191
0.74,0.78,0.84,0.66,3,0.6143992932862191
0.72,0.76,0.76,0.58,3,0.6143992932862191
0.68,0.8,0.86,0.64,3,0.6143992932862191
0.6,0.74,0.84,0.68,3,0.6143992932862191
0.72,0.8,0.72,0.72,3,0.6143992932862191
0.7,0.82,0.78,0.7,3,0.6143992932862191
0.66,0.7,0.82,0.66,3,0.6143992932862191
0.58,0.68,0.66,0.6,3,0.6143992932862191
0.74,0.78,0.74,0.64,3,0.6143992932862191
0.66,0.78,0.78,0.68,3,0.6143992932862191
0.64,0.6,0.56,0.54,3,0.6143992932862191
0.7,0.74,0.7,0.58,3,0.6143992932862191
0.6,0.78,0.62,0.64,3,0.6143992932862191
0.68,0.7,0.72,0.7,3,0.6143992932862191
0.64,0.78,0.78,0.78,3,0.6143992932862191
0.72,0.7,0.84,0.68,3,0.6143992932862191
0.54,0.78,0.74,0.66,3,0.6143992932862191
0.66,0.7,0.72,0.64,3,0.6143992932862191
0.6,0.6,0.68,0.58,3,0.6143992932862191
0.58,0.68,0.66,0.6,3,0.6143992932862191
0.68,0.5,0.62,0.62,3,0.6143992932862191
0.7,0.76,0.78,0.78,3,0.6143992932862191
0.62,0.78,0.74,0.62,3,0.6143992932862191
0.72,0.78,0.8,0.62,3,0.6143992932862191
0.64,0.7,0.8,0.62,3,0.6143992932862191
0.54,0.58,0.6,0.52,3,0.6143992932862191
0.7,0.7,0.76,0.64,3,0.6143992932862191
0.62,0.76,0.68,0.7,3,0.6143992932862191
0.78,0.9,0.88,0.66,3,0.6143992932862191
0.56,0.58,0.54,0.58,3,0.6143992932862191
0.58,0.7,0.7,0.58,3,0.6143992932862191
0.6,0.66,0.64,0.62,3,0.6143992932862191
0.82,0.78,0.88,0.66,3,0.6143992932862191
0.62,0.68,0.74,0.56,3,0.6143992932862191
0.74,0.82,0.86,0.66,3,0.6143992932862191
0.64,0.72,0.78,0.66,3,0.6143992932862191
0.48,0.66,0.76,0.62,3,0.6143992932862191
0.6,0.62,0.72,0.76,3,0.6143992932862191
0.72,0.68,0.7,0.72,3,0.6143992932862191
0.58,0.58,0.6,0.56,3,0.6143992932862191
0.54,0.6,0.62,0.5,3,0.6143992932862191
0.64,0.7,0.68,0.6,3,0.6143992932862191
0.68,0.7,0.7,0.6,3,0.6143992932862191
0.52,0.62,0.68,0.6,3,0.6143992932862191
0.74,0.68,0.88,0.74,3,0.6143992932862191
0.44,0.78,0.58,0.56,3,0.6143992932862191
0.66,0.82,0.68,0.7,3,0.6143992932862191
0.7,0.82,0.88,0.52,3,0.6143992932862191
0.56,0.68,0.66,0.46,3,0.6143992932862191
0.56,0.64,0.66,0.6,3,0.6143992932862191
0.68,0.64,0.72,0.6,3,0.6143992932862191
0.56,0.58,0.66,0.66,3,0.6143992932862191
0.7,0.76,0.66,0.76,3,0.6143992932862191
0.76,0.78,0.76,0.66,3,0.6143992932862191
0.62,0.66,0.66,0.6,3,0.6143992932862191
0.76,0.78,0.82,0.66,3,0.6143992932862191
0.6,0.68,0.72,0.58,3,0.6143992932862191
0.52,0.56,0.58,0.58,3,0.6143992932862191
0.52,0.6,0.56,0.6,3,0.6143992932862191
0.54,0.56,0.58,0.62,3,0.6143992932862191
0.72,0.72,0.7,0.64,3,0.6143992932862191
0.6,0.72,0.64,0.62,3,0.6143992932862191
0.6,0.82,0.64,0.58,3,0.6143992932862191
0.68,0.7,0.68,0.7,3,0.6143992932862191
0.72,0.76,0.8,0.66,3,0.6143992932862191
0.54,0.62,0.66,0.58,3,0.6143992932862191
0.52,0.64,0.62,0.58,3,0.6143992932862191
0.62,0.7,0.72,0.72,3,0.6143992932862191
0.78,0.68,0.74,0.72,3,0.6143992932862191
0.52,0.7,0.64,0.54,3,0.6143992932862191
0.6,0.78,0.68,0.64,3,0.6143992932862191
0.68,0.74,0.62,0.6,3,0.6143992932862191
0.58,0.6,0.6,0.64,3,0.6143992932862191
0.54,0.58,0.74,0.56,3,0.6143992932862191
0.64,0.64,0.74,0.5,3,0.6143992932862191
