base,extra,test,majority,num_classes,majority_all
0.2,0.16,0.16,0.18,10,0.1
0.04,0.16,0.16,0.18,10,0.1
0.16,0.16,0.18,0.16,10,0.1
0.14,0.18,0.2,0.18,10,0.1
0.04,0.16,0.16,0.22,10,0.1
0.14,0.14,0.14,0.16,10,0.1
0.1,0.2,0.22,0.16,10,0.1
0.16,0.18,0.2,0.18,10,0.1
0.18,0.12,0.2,0.22,10,0.1
0.16,0.16,0.12,0.2,10,0.1
0.1,0.18,0.0,0.18,10,0.1
0.08,0.06,0.06,0.18,10,0.1
0.06,0.04,0.06,0.2,10,0.1
0.14,0.12,0.18,0.18,10,0.1
0.1,0.14,0.12,0.16,10,0.1
0.18,0.08,0.1,0.18,10,0.1
0.16,0.3,0.08,0.22,10,0.1
0.12,0.08,0.14,0.14,10,0.1
0.12,0.16,0.1,0.14,10,0.1
0.2,0.16,0.14,0.16,10,0.1
0.08,0.08,0.08,0.18,10,0.1
0.12,0.2,0.18,0.18,10,0.1
0.1,0.2,0.16,0.16,10,0.1
0.18,0.3,0.24,0.16,10,0.1
0.1,0.2,0.16,0.14,10,0.1
0.08,0.18,0.18,0.18,10,0.1
0.18,0.34,0.12,0.14,10,0.1
0.06,0.14,0.1,0.18,10,0.1
0.08,0.08,0.16,0.2,10,0.1
0.16,0.18,0.22,0.14,10,0.1
0.12,0.12,0.16,0.14,10,0.1
0.2,0.3,0.3,0.2,10,0.1
0.18,0.18,0.16,0.18,10,0.1
0.14,0.2,0.16,0.16,10,0.1
0.02,0.28,0.24,0.14,10,0.1
0.16,0.12,0.26,0.12,10,0.1
0.1,0.16,0.18,0.16,10,0.1
0.1,0.1,0.12,0.22,10,0.1
0.06,0.14,0.06,0.18,10,0.1
0.1,0.06,0.12,0.18,10,0.1
0.12,0.22,0.18,0.16,10,0.1
0.1,0.18,0.22,0.16,10,0.1
0.1,0.14,0.26,0.16,10,0.1
0.16,0.1,0.14,0.16,10,0.1
0.2,0.26,0.14,0.28,10,0.1
0.14,0.22,0.2,0.2,10,0.1
0.08,0.24,0.32,0.18,10,0.1
0.02,0.3,0.3,0.2,10,0.1
0.12,0.18,0.14,0.18,10,0.1
0.16,0.12,0.14,0.16,10,0.1
0.12,0.16,0.14,0.18,10,0.1
0.16,0.18,0.12,0.18,10,0.1
0.06,0.26,0.24,0.22,10,0.1
0.16,0.16,0.12,0.18,10,0.1
0.06,0.12,0.2,0.2,10,0.1
0.1,0.24,0.2,0.16,10,0.1
0.12,0.12,0.1,0.16,10,0.1
0.08,0.22,0.24,0.2,10,0.1
0.06,0.1,0.12,0.26,10,0.1
0.1,0.26,0.22,0.18,10,0.1
0.1,0.12,0.14,0.2,10,0.1
0.08,0.12,0.12,0.18,10,0.1
0.04,0.22,0.26,0.14,10,0.1
0.16,0.12,0.14,0.16,10,0.1
0.14,0.2,0.14,0.16,10,0.1
0.12,0.1,0.2,0.16,10,0.1
0.16,0.1,0.08,0.2,10,0.1
0.06,0.2,0.12,0.18,10,0.1
0.12,0.3,0.3,0.14,10,0.1
0.08,0.1,0.16,0.16,10,0.1
0.12,0.12,0.04,0.16,10,0.1
0.2,0.08,0.14,0.16,10,0.1
0.08,0.18,0.08,0.16,10,0.1
0.1,0.06,0.22,0.18,10,0.1
0.1,0.12,0.1,0.18,10,0.1
0.12,0.22,0.26,0.18,10,0.1
0.12,0.08,0.16,0.16,10,0.1
0.16,0.26,0.12,0.18,10,0.1
0.16,0.2,0.2,0.18,10,0.1
0.06,0.14,0.16,0.18,10,0.1
0.12,0.1,0.16,0.14,10,0.1
0.16,0.14,0.24,0.18,10,0.1
0.14,0.14,0.12,0.14,10,0.1
0.04,0.22,0.24,0.2,10,0.1
0.22,0.2,0.08,0.18,10,0.1
0.08,0.12,0.16,0.26,10,0.1
0.08,0.22,0.24,0.18,10,0.1
0.16,0.14,0.1,0.14,10,0.1
0.06,0.04,0.08,0.16,10,0.1
0.12,0.14,0.06,0.22,10,0.1
0.14,0.1,0.08,0.2,10,0.1
0.08,0.3,0.3,0.22,10,0.1
0.16,0.12,0.08,0.14,10,0.1
0.16,0.16,0.28,0.18,10,0.1
0.1,0.06,0.12,0.22,10,0.1
0.08,0.12,0.2,0.18,10,0.1
0.06,0.16,0.18,0.2,10,0.1
0.1,0.16,0.18,0.18,10,0.1
0.04,0.16,0.18,0.18,10,0.1
0.16,0.12,0.18,0.16,10,0.1
