base,extra,test,majority,num_classes,majority_all
0.04,0.07,0.09,0.16,10,0.1
0.11,0.2,0.18,0.16,10,0.1
0.1,0.17,0.16,0.14,10,0.1
0.15,0.08,0.13,0.13,10,0.1
0.11,0.08,0.09,0.17,10,0.1
0.1,0.16,0.12,0.13,10,0.1
0.15,0.07,0.05,0.14,10,0.1
0.09,0.19,0.16,0.17,10,0.1
0.13,0.04,0.05,0.21,10,0.1
0.06,0.09,0.09,0.17,10,0.1
0.12,0.11,0.08,0.15,10,0.1
0.15,0.16,0.14,0.17,10,0.1
0.07,0.11,0.12,0.15,10,0.1
0.1,0.11,0.13,0.15,10,0.1
0.09,0.13,0.11,0.14,10,0.1
0.11,0.11,0.1,0.15,10,0.1
0.05,0.06,0.06,0.15,10,0.1
0.08,0.14,0.15,0.13,10,0.1
0.13,0.12,0.11,0.14,10,0.1
0.06,0.12,0.14,0.14,10,0.1
0.06,0.12,0.15,0.14,10,0.1
0.08,0.09,0.11,0.12,10,0.1
0.16,0.1,0.11,0.13,10,0.1
0.07,0.14,0.17,0.14,10,0.1
0.12,0.11,0.09,0.16,10,0.1
0.12,0.09,0.09,0.16,10,0.1
0.11,0.08,0.12,0.13,10,0.1
0.09,0.14,0.14,0.14,10,0.1
0.14,0.08,0.06,0.19,10,0.1
0.08,0.17,0.15,0.13,10,0.1
0.1,0.1,0.13,0.14,10,0.1
0.13,0.14,0.13,0.16,10,0.1
0.16,0.17,0.15,0.14,10,0.1
0.07,0.12,0.1,0.19,10,0.1
0.13,0.11,0.1,0.14,10,0.1
0.09,0.14,0.17,0.13,10,0.1
0.08,0.07,0.15,0.16,10,0.1
0.09,0.11,0.11,0.16,10,0.1
0.08,0.13,0.13,0.15,10,0.1
0.11,0.08,0.07,0.13,10,0.1
0.14,0.08,0.15,0.15,10,0.1
0.17,0.06,0.07,0.17,10,0.1
0.07,0.12,0.1,0.14,10,0.1
0.12,0.13,0.12,0.16,10,0.1
0.12,0.13,0.11,0.16,10,0.1
0.08,0.11,0.12,0.16,10,0.1
0.11,0.16,0.17,0.12,10,0.1
0.14,0.08,0.08,0.17,10,0.1
0.08,0.17,0.14,0.14,10,0.1
0.1,0.14,0.13,0.15,10,0.1
0.11,0.18,0.19,0.13,10,0.1
0.14,0.1,0.12,0.13,10,0.1
0.09,0.1,0.13,0.16,10,0.1
0.07,0.09,0.09,0.15,10,0.1
0.13,0.15,0.16,0.19,10,0.1
0.14,0.1,0.12,0.17,10,0.1
0.16,0.08,0.08,0.17,10,0.1
0.12,0.1,0.1,0.13,10,0.1
0.19,0.13,0.18,0.21,10,0.1
0.1,0.11,0.09,0.18,10,0.1
0.12,0.12,0.13,0.17,10,0.1
0.08,0.14,0.13,0.17,10,0.1
0.12,0.1,0.08,0.16,10,0.1
0.06,0.1,0.13,0.14,10,0.1
0.08,0.16,0.16,0.16,10,0.1
0.12,0.12,0.12,0.16,10,0.1
0.11,0.14,0.15,0.16,10,0.1
0.12,0.11,0.11,0.14,10,0.1
0.09,0.1,0.11,0.15,10,0.1
0.12,0.1,0.09,0.13,10,0.1
0.11,0.09,0.11,0.13,10,0.1
0.11,0.09,0.09,0.14,10,0.1
0.14,0.13,0.14,0.14,10,0.1
0.12,0.18,0.14,0.14,10,0.1
0.06,0.13,0.13,0.16,10,0.1
0.1,0.14,0.14,0.14,10,0.1
0.07,0.13,0.12,0.12,10,0.1
0.11,0.14,0.07,0.14,10,0.1
0.08,0.2,0.2,0.16,10,0.1
0.07,0.14,0.13,0.15,10,0.1
0.06,0.11,0.09,0.16,10,0.1
0.08,0.08,0.11,0.14,10,0.1
0.1,0.12,0.13,0.12,10,0.1
0.16,0.1,0.08,0.15,10,0.1
0.1,0.11,0.11,0.15,10,0.1
0.13,0.07,0.1,0.19,10,0.1
0.08,0.15,0.13,0.13,10,0.1
0.14,0.11,0.12,0.15,10,0.1
0.15,0.12,0.15,0.14,10,0.1
0.12,0.08,0.09,0.18,10,0.1
0.11,0.07,0.09,0.18,10,0.1
0.14,0.15,0.13,0.18,10,0.1
0.14,0.12,0.07,0.14,10,0.1
0.11,0.15,0.12,0.16,10,0.1
0.06,0.15,0.13,0.15,10,0.1
0.08,0.16,0.12,0.17,10,0.1
0.11,0.12,0.11,0.14,10,0.1
0.06,0.11,0.11,0.14,10,0.1
0.16,0.16,0.15,0.15,10,0.1
0.07,0.16,0.17,0.18,10,0.1
