base,extra,test,majority,num_classes,majority_all
0.1,0.14,0.13,0.17,11,0.13959277462181655
0.09,0.22,0.15,0.13,11,0.13959277462181655
0.05,0.15,0.15,0.17,11,0.13959277462181655
0.06,0.14,0.13,0.19,11,0.13959277462181655
0.1,0.17,0.2,0.14,11,0.13959277462181655
0.11,0.13,0.11,0.2,11,0.13959277462181655
0.1,0.23,0.23,0.15,11,0.13959277462181655
0.1,0.15,0.15,0.19,11,0.13959277462181655
0.12,0.14,0.15,0.15,11,0.13959277462181655
0.09,0.15,0.16,0.15,11,0.13959277462181655
0.13,0.1,0.15,0.14,11,0.13959277462181655
0.08,0.14,0.12,0.16,11,0.13959277462181655
0.1,0.16,0.17,0.19,11,0.13959277462181655
0.07,0.19,0.17,0.16,11,0.13959277462181655
0.05,0.12,0.13,0.16,11,0.13959277462181655
0.08,0.15,0.17,0.15,11,0.13959277462181655
0.11,0.17,0.18,0.13,11,0.13959277462181655
0.11,0.21,0.18,0.22,11,0.13959277462181655
0.1,0.18,0.15,0.18,11,0.13959277462181655
0.07,0.13,0.14,0.15,11,0.13959277462181655
0.09,0.19,0.17,0.15,11,0.13959277462181655
0.06,0.15,0.17,0.2,11,0.13959277462181655
0.08,0.17,0.14,0.19,11,0.13959277462181655
0.08,0.18,0.16,0.19,11,0.13959277462181655
0.05,0.15,0.18,0.16,11,0.13959277462181655
0.06,0.19,0.15,0.13,11,0.13959277462181655
0.13,0.15,0.15,0.16,11,0.13959277462181655
0.06,0.2,0.19,0.18,11,0.13959277462181655
0.1,0.23,0.21,0.19,11,0.13959277462181655
0.09,0.11,0.13,0.14,11,0.13959277462181655
0.08,0.15,0.17,0.17,11,0.13959277462181655
0.09,0.14,0.16,0.24,11,0.13959277462181655
0.09,0.16,0.16,0.16,11,0.13959277462181655
0.05,0.17,0.19,0.18,11,0.13959277462181655
0.11,0.17,0.19,0.14,11,0.13959277462181655
0.1,0.19,0.15,0.13,11,0.13959277462181655
0.09,0.14,0.15,0.17,11,0.13959277462181655
0.06,0.19,0.18,0.18,11,0.13959277462181655
0.09,0.17,0.2,0.17,11,0.13959277462181655
0.07,0.2,0.19,0.22,11,0.13959277462181655
0.13,0.19,0.21,0.14,11,0.13959277462181655
0.07,0.22,0.18,0.14,11,0.13959277462181655
0.1,0.21,0.2,0.14,11,0.13959277462181655
0.07,0.19,0.18,0.18,11,0.13959277462181655
0.04,0.13,0.12,0.16,11,0.13959277462181655
0.07,0.22,0.21,0.15,11,0.13959277462181655
0.06,0.16,0.16,0.13,11,0.13959277462181655
0.09,0.15,0.13,0.17,11,0.13959277462181655
0.1,0.15,0.15,0.18,11,0.13959277462181655
0.07,0.19,0.16,0.15,11,0.13959277462181655
0.1,0.16,0.17,0.13,11,0.13959277462181655
0.05,0.12,0.11,0.13,11,0.13959277462181655
0.18,0.14,0.13,0.17,11,0.13959277462181655
0.08,0.14,0.14,0.18,11,0.13959277462181655
0.11,0.12,0.12,0.19,11,0.13959277462181655
0.08,0.11,0.12,0.2,11,0.13959277462181655
0.18,0.22,0.2,0.22,11,0.13959277462181655
0.04,0.18,0.16,0.16,11,0.13959277462181655
0.08,0.18,0.2,0.17,11,0.13959277462181655
0.06,0.17,0.18,0.16,11,0.13959277462181655
0.08,0.13,0.16,0.13,11,0.13959277462181655
0.07,0.09,0.1,0.13,11,0.13959277462181655
0.06,0.14,0.21,0.18,11,0.13959277462181655
0.03,0.16,0.15,0.17,11,0.13959277462181655
0.1,0.14,0.1,0.16,11,0.13959277462181655
0.07,0.13,0.16,0.2,11,0.13959277462181655
0.11,0.17,0.17,0.16,11,0.13959277462181655
0.08,0.16,0.13,0.15,11,0.13959277462181655
0.08,0.16,0.11,0.16,11,0.13959277462181655
0.15,0.15,0.18,0.17,11,0.13959277462181655
0.19,0.1,0.13,0.19,11,0.13959277462181655
0.07,0.09,0.07,0.19,11,0.13959277462181655
0.07,0.16,0.18,0.19,11,0.13959277462181655
0.15,0.17,0.18,0.16,11,0.13959277462181655
0.09,0.14,0.15,0.21,11,0.13959277462181655
0.11,0.16,0.15,0.13,11,0.13959277462181655
0.06,0.15,0.14,0.13,11,0.13959277462181655
0.1,0.19,0.21,0.19,11,0.13959277462181655
0.1,0.09,0.11,0.16,11,0.13959277462181655
0.12,0.18,0.21,0.18,11,0.13959277462181655
0.14,0.11,0.12,0.17,11,0.13959277462181655
0.09,0.23,0.23,0.2,11,0.13959277462181655
0.09,0.18,0.17,0.12,11,0.13959277462181655
0.15,0.14,0.12,0.18,11,0.13959277462181655
0.07,0.13,0.12,0.15,11,0.13959277462181655
0.07,0.15,0.17,0.15,11,0.13959277462181655
0.11,0.1,0.1,0.18,11,0.13959277462181655
0.1,0.1,0.14,0.17,11,0.13959277462181655
0.09,0.15,0.19,0.14,11,0.13959277462181655
0.07,0.14,0.12,0.15,11,0.13959277462181655
0.11,0.16,0.16,0.18,11,0.13959277462181655
0.06,0.2,0.2,0.14,11,0.13959277462181655
0.09,0.14,0.13,0.16,11,0.13959277462181655
0.12,0.14,0.17,0.12,11,0.13959277462181655
0.05,0.12,0.12,0.15,11,0.13959277462181655
0.1,0.17,0.13,0.13,11,0.13959277462181655
0.12,0.16,0.14,0.15,11,0.13959277462181655
0.08,0.18,0.2,0.17,11,0.13959277462181655
0.06,0.17,0.18,0.21,11,0.13959277462181655
0.12,0.18,0.22,0.15,11,0.13959277462181655
